double in_og; double in;bool negative_flag;bool positive_flag; bool DU
0;0;0;0;0
54990;-10546;0;1;1
31309;31309;0;0;0
21660;21660;0;1;1
10358;10358;0;1;1
57019;-8517;0;1;1
58607;-6929;0;0;0
20863;20863;0;0;0
19110;19110;0;1;1
31369;31369;0;1;1
40080;-25456;0;1;1
50283;-15253;0;0;0
28819;28819;0;0;0
30928;30928;0;1;1
45937;-19599;0;1;1
2277;2277;0;0;0
4399;4399;0;1;1
53642;-11894;0;1;1
34439;-31097;0;0;0
3888;3888;0;0;0
7947;7947;0;1;1
14158;14158;0;1;1
23765;23765;0;1;1
13515;13515;0;1;1
4407;4407;0;1;1
25257;25257;0;1;1
35847;-29689;0;1;1
18276;18276;0;0;0
56836;-8700;0;1;1
39438;-26098;0;0;0
57503;-8033;0;0;0
41649;-23887;0;0;0
36954;-28582;0;0;0
36264;-29272;0;0;0
50968;-14568;0;0;0
36266;-29270;0;0;0
62366;-3170;0;0;0
51499;-14037;0;0;0
8385;8385;0;0;0
15512;15512;0;1;1
1104;1104;0;1;1
20076;20076;0;1;1
60174;-5362;0;1;1
4422;4422;0;0;0
25751;25751;0;1;1
16874;16874;0;1;1
19170;19170;0;1;1
3610;3610;0;1;1
49672;-15864;0;1;1
36425;-29111;0;0;0
23497;23497;0;0;0
25856;25856;0;1;1
4595;4595;0;1;1
56612;-8924;0;1;1
48350;-17186;0;0;0
16314;16314;0;0;0
48913;-16623;0;1;1
24265;24265;0;0;0
31250;31250;0;1;1
23364;23364;0;1;1
20746;20746;0;1;1
22857;22857;0;1;1
59632;-5904;0;1;1
12633;12633;0;0;0
58615;-6921;0;1;1
7984;7984;0;0;0
45404;-20132;0;1;1
564;564;0;0;0
34419;-31117;0;1;1
53610;-11926;0;0;0
50929;-14607;0;0;0
44344;-21192;0;0;0
51933;-13603;0;0;0
19386;19386;0;0;0
23474;23474;0;1;1
45228;-20308;0;1;1
16256;16256;0;0;0
54738;-10798;0;1;1
2329;2329;0;0;0
2671;2671;0;1;1
11074;11074;0;1;1
37817;-27719;0;1;1
3003;3003;0;0;0
19375;19375;0;1;1
993;993;0;1;1
43190;-22346;0;1;1
30662;30662;0;0;0
36938;-28598;0;1;1
44206;-21330;0;0;0
25365;25365;0;0;0
51261;-14275;0;1;1
20847;20847;0;0;0
61435;-4101;0;1;1
