in_og,in,negative_flag,positive_flag,DU
31309,31309,0,0,0
21660,21660,0,1,1
20863,20863,0,0,0
19110,19110,0,1,1
28819,28819,0,0,0
2277,2277,0,0,0
3888,3888,0,0,0
7947,7947,0,1,1
14158,14158,0,1,1
23765,23765,0,1,1
13515,13515,0,1,1
4407,4407,0,1,1
8385,8385,0,0,0
15512,15512,0,1,1
1104,1104,0,1,1
4422,4422,0,0,0
25751,25751,0,1,1
16874,16874,0,1,1
19170,19170,0,1,1
23497,23497,0,0,0
25856,25856,0,1,1
24265,24265,0,0,0
31250,31250,0,1,1
23364,23364,0,1,1
20746,20746,0,1,1
19386,19386,0,0,0
2329,2329,0,0,0
2671,2671,0,1,1
3003,3003,0,0,0
19375,19375,0,1,1
29492,29492,0,0,0
22823,22823,0,1,1
3874,3874,0,1,1
29586,29586,0,1,1
18728,18728,0,1,1
10050,10050,0,1,1
24620,24620,0,1,1
13717,13717,0,0,0
1093,1093,0,0,0
26670,26670,0,1,1
25034,25034,0,0,0
12810,12810,0,1,1
24325,24325,0,1,1
14213,14213,0,1,1
21741,21741,0,0,0
15673,15673,0,1,1
27073,27073,0,0,0
28911,28911,0,0,0
13157,13157,0,1,1
4697,4697,0,1,1
15009,15009,0,0,0
15796,15796,0,0,0
8465,8465,0,0,0
32701,32701,0,0,0
23463,23463,0,1,1
21029,21029,0,0,0
13237,13237,0,0,0
10871,10871,0,0,0
12428,12428,0,0,0
19525,19525,0,0,0
1846,1846,0,0,0
14856,14856,0,1,1
29168,29168,0,1,1
25286,25286,0,0,0
26335,26335,0,1,1
13063,13063,0,1,1
25067,25067,0,0,0
14637,14637,0,1,1
22506,22506,0,0,0
29303,29303,0,1,1
12606,12606,0,1,1
24529,24529,0,0,0
29670,29670,0,0,0
11655,11655,0,0,0
10025,10025,0,0,0
20305,20305,0,0,0
28760,28760,0,1,1
25595,25595,0,1,1
4038,4038,0,0,0
25674,25674,0,1,1
5213,5213,0,0,0
10093,10093,0,1,1
28021,28021,0,0,0
7022,7022,0,0,0
25043,25043,0,1,1
18314,18314,0,1,1
4227,4227,0,0,0
24458,24458,0,0,0
14378,14378,0,1,1
15046,15046,0,1,1
21088,21088,0,0,0
13958,13958,0,1,1
18831,18831,0,1,1
6074,6074,0,1,1
11794,11794,0,0,0
14990,14990,0,0,0
2341,2341,0,0,0
2323,2323,0,0,0
12809,12809,0,1,1
823,823,0,1,1
6814,6814,0,1,1
7113,7113,0,1,1
2330,2330,0,0,0
24400,24400,0,0,0
3408,3408,0,1,1
18457,18457,0,1,1
3552,3552,0,1,1
3166,3166,0,0,0
8943,8943,0,1,1
14542,14542,0,0,0
8534,8534,0,1,1
3464,3464,0,1,1
19443,19443,0,0,0
15432,15432,0,1,1
20397,20397,0,1,1
17393,17393,0,0,0
1558,1558,0,0,0
12876,12876,0,0,0
4945,4945,0,0,0
28652,28652,0,0,0
27348,27348,0,0,0
8418,8418,0,1,1
2925,2925,0,0,0
8689,8689,0,0,0
26279,26279,0,1,1
27448,27448,0,1,1
14778,14778,0,1,1
25213,25213,0,1,1
29874,29874,0,1,1
8598,8598,0,1,1
19738,19738,0,1,1
5027,5027,0,1,1
12154,12154,0,0,0
26683,26683,0,1,1
24060,24060,0,0,0
19313,19313,0,1,1
1281,1281,0,0,0
29647,29647,0,0,0
15307,15307,0,1,1
12422,12422,0,0,0
21680,21680,0,0,0
24513,24513,0,0,0
11661,11661,0,1,1
20147,20147,0,0,0
7592,7592,0,1,1
30746,30746,0,0,0
24961,24961,0,1,1
22473,22473,0,1,1
2088,2088,0,1,1
18856,18856,0,1,1
4246,4246,0,1,1
29225,29225,0,0,0
1625,1625,0,0,0
26239,26239,0,0,0
20910,20910,0,1,1
8766,8766,0,0,0
1225,1225,0,1,1
1696,1696,0,0,0
23601,23601,0,0,0
12063,12063,0,1,1
12537,12537,0,0,0
14492,14492,0,0,0
10245,10245,0,0,0
26987,26987,0,1,1
20949,20949,0,0,0
776,776,0,1,1
16417,16417,0,1,1
8337,8337,0,0,0
28169,28169,0,1,1
13625,13625,0,0,0
24417,24417,0,0,0
12545,12545,0,0,0
20777,20777,0,1,1
22331,22331,0,0,0
15329,15329,0,1,1
2076,2076,0,1,1
18660,18660,0,1,1
23879,23879,0,1,1
3898,3898,0,0,0
20500,20500,0,1,1
30765,30765,0,0,0
12719,12719,0,0,0
7909,7909,0,0,0
27029,27029,0,0,0
3944,3944,0,0,0
21493,21493,0,0,0
29145,29145,0,1,1
6287,6287,0,0,0
69,69,0,1,1
22447,22447,0,0,0
3647,3647,0,0,0
29648,29648,0,0,0
13616,13616,0,0,0
22780,22780,0,0,0
19975,19975,0,1,1
20165,20165,0,1,1
26385,26385,0,1,1
11327,11327,0,0,0
15599,15599,0,0,0
19364,19364,0,0,0
22364,22364,0,1,1
18767,18767,0,1,1
1270,1270,0,1,1
17492,17492,0,1,1
25618,25618,0,0,0
10754,10754,0,0,0
30279,30279,0,0,0
7659,7659,0,1,1
27635,27635,0,1,1
27652,27652,0,0,0
18395,18395,0,1,1
5195,5195,0,0,0
6678,6678,0,1,1
3152,3152,0,0,0
21014,21014,0,0,0
10886,10886,0,1,1
12269,12269,0,0,0
13864,13864,0,0,0
357,357,0,1,1
19853,19853,0,0,0
1550,1550,0,1,1
22481,22481,0,1,1
13938,13938,0,0,0
14733,14733,0,0,0
25083,25083,0,0,0
27262,27262,0,0,0
22117,22117,0,0,0
26691,26691,0,0,0
8709,8709,0,0,0
29577,29577,0,0,0
788,788,0,0,0
7640,7640,0,0,0
16984,16984,0,0,0
28972,28972,0,1,1
9971,9971,0,1,1
18226,18226,0,0,0
19672,19672,0,0,0
7353,7353,0,1,1
10328,10328,0,0,0
