 double in,bool negative_flag,bool positive_flag, bool DU
0,0,0,0
-10546,0,0,0
31309,1,0,1
21660,0,0,0
10358,0,0,0
-8517,0,0,0
-6929,1,0,1
20863,1,0,1
19110,0,0,0
31369,0,0,0
-25456,0,0,0
-15253,1,0,1
28819,1,0,1
30928,0,0,0
-19599,0,0,0
2277,1,0,1
4399,0,0,0
-11894,0,0,0
-31097,1,0,1
3888,1,0,1
7947,0,0,0
14158,0,0,0
23765,0,0,0
13515,0,0,0
4407,0,0,0
25257,0,0,0
-29689,0,0,0
18276,1,0,1
-8700,0,0,0
-26098,1,0,1
-8033,1,0,1
-23887,1,0,1
-28582,1,0,1
-29272,1,0,1
-14568,1,0,1
-29270,1,0,1
-3170,1,0,1
-14037,1,0,1
8385,1,0,1
15512,0,0,0
1104,0,0,0
20076,0,0,0
-5362,0,0,0
4422,1,0,1
25751,0,0,0
16874,0,0,0
19170,0,0,0
3610,0,0,0
-15864,0,0,0
-29111,1,0,1
23497,1,0,1
25856,0,0,0
4595,0,0,0
-8924,0,0,0
-17186,1,0,1
16314,1,0,1
-16623,0,0,0
24265,1,0,1
31250,0,0,0
23364,0,0,0
20746,0,0,0
22857,0,0,0
-5904,0,0,0
12633,1,0,1
-6921,0,0,0
7984,1,0,1
-20132,0,0,0
564,1,0,1
-31117,0,0,0
-11926,1,0,1
-14607,1,0,1
-21192,1,0,1
-13603,1,0,1
19386,1,0,1
23474,0,0,0
-20308,0,0,0
16256,1,0,1
-10798,0,0,0
2329,1,0,1
2671,0,0,0
11074,0,0,0
-27719,0,0,0
3003,1,0,1
19375,0,0,0
993,0,0,0
-22346,0,0,0
30662,1,0,1
-28598,0,0,0
-21330,1,0,1
25365,1,0,1
-14275,0,0,0
20847,1,0,1
-4101,0,0,0
25095,1,0,1
-18585,0,0,0
29492,1,0,1
22823,0,0,0
3874,0,0,0
29586,0,0,0
18728,0,0,0
10050,0,0,0
24620,0,0,0
32476,0,0,0
-5636,0,0,0
23434,1,0,1
-10675,0,0,0
13717,1,0,1
9345,0,0,0
-16247,0,0,0
1093,1,0,1
26670,0,0,0
9139,0,0,0
-8267,0,0,0
-15950,1,0,1
25034,1,0,1
12810,0,0,0
24325,0,0,0
14213,0,0,0
7125,0,0,0
-19072,0,0,0
12870,1,0,1
-16874,0,0,0
-14992,1,0,1
21741,1,0,1
15673,0,0,0
24149,0,0,0
-15467,0,0,0
15207,1,0,1
-28950,0,0,0
27648,1,0,1
-6552,0,0,0
-21544,1,0,1
-21170,1,0,1
-27745,1,0,1
27073,1,0,1
11905,0,0,0
-2423,0,0,0
21934,1,0,1
-5961,0,0,0
28911,1,0,1
13157,0,0,0
4697,0,0,0
9163,0,0,0
-8755,0,0,0
29091,1,0,1
-25277,0,0,0
15009,1,0,1
23973,0,0,0
-30020,0,0,0
15796,1,0,1
14203,0,0,0
-20604,0,0,0
9697,1,0,1
-24054,0,0,0
-19807,1,0,1
17746,1,0,1
-31900,0,0,0
-16072,1,0,1
8465,1,0,1
30998,0,0,0
-31025,0,0,0
18683,1,0,1
-3941,0,0,0
-8047,1,0,1
32701,1,0,1
23463,0,0,0
22725,0,0,0
-5898,0,0,0
20471,1,0,1
-12224,0,0,0
5418,1,0,1
-24009,0,0,0
30766,1,0,1
-21015,0,0,0
21029,1,0,1
3191,0,0,0
-13354,0,0,0
13237,1,0,1
17613,0,0,0
-30185,0,0,0
6496,1,0,1
-6153,0,0,0
-2844,1,0,1
24210,1,0,1
-17829,0,0,0
-31438,1,0,1
-6108,1,0,1
10871,1,0,1
27032,0,0,0
-29402,0,0,0
-1346,1,0,1
5082,1,0,1
-20623,0,0,0
-26690,1,0,1
-8363,1,0,1
12428,1,0,1
7679,0,0,0
-19693,0,0,0
-15055,1,0,1
19525,1,0,1
3768,0,0,0
-29962,0,0,0
-5425,1,0,1
1846,1,0,1
14856,0,0,0
29168,0,0,0
31892,0,0,0
-11664,0,0,0
16591,1,0,1
-14147,0,0,0
25286,1,0,1
26335,0,0,0
13063,0,0,0
32186,0,0,0
-3426,0,0,0
22406,1,0,1
-15885,0,0,0
25067,1,0,1
14637,0,0,0
6660,0,0,0
-29762,0,0,0
22506,1,0,1
29303,0,0,0
12606,0,0,0
30128,0,0,0
-25135,0,0,0
-550,1,0,1
-3514,1,0,1
-12601,1,0,1
-30340,1,0,1
-18632,1,0,1
-13159,1,0,1
-6192,1,0,1
-31847,1,0,1
-20918,1,0,1
24529,1,0,1
29849,0,0,0
-24211,0,0,0
32264,1,0,1
-1463,0,0,0
17717,1,0,1
-6483,0,0,0
-7959,1,0,1
-1542,1,0,1
-16031,1,0,1
-31761,1,0,1
536,1,0,1
-5030,0,0,0
29670,1,0,1
10391,0,0,0
-28118,0,0,0
-18211,1,0,1
-1463,1,0,1
-7759,1,0,1
11655,1,0,1
568,0,0,0
-26518,0,0,0
-14267,1,0,1
-28333,1,0,1
-12612,1,0,1
30794,1,0,1
-21335,0,0,0
-16890,1,0,1
10025,1,0,1
7871,0,0,0
-25581,0,0,0
30204,1,0,1
-8967,0,0,0
20305,1,0,1
28760,0,0,0
25595,0,0,0
11658,0,0,0
-7037,0,0,0
-32528,1,0,1
23985,1,0,1
-16595,0,0,0
-22135,1,0,1
4038,1,0,1
25674,0,0,0
21783,0,0,0
-5773,0,0,0
15583,1,0,1
-20290,0,0,0
-7101,1,0,1
-8198,1,0,1
-21320,1,0,1
18943,1,0,1
-3773,0,0,0
9105,1,0,1
-31751,0,0,0
12978,1,0,1
-2525,0,0,0
