double in,bool negative_flag,bool positive_flag
0, 0, 0
54990, 0, 1
31309, 1, 0
21660, 0, 1
10358, 0, 1
57019, 0, 1
58607, 1, 0
20863, 1, 0
19110, 0, 1
31369, 0, 1
40080, 0, 1
50283, 1, 0
28819, 1, 0
30928, 0, 1
45937, 0, 1
2277, 1, 0
4399, 0, 1
53642, 0, 1
34439, 1, 0
3888, 1, 0
7947, 0, 1
14158, 0, 1
23765, 0, 1
13515, 0, 1
4407, 0, 1
25257, 0, 1
35847, 0, 1
18276, 1, 0
56836, 0, 1
39438, 1, 0
57503, 1, 0
41649, 1, 0
36954, 1, 0
36264, 1, 0
50968, 1, 0
36266, 1, 0
62366, 1, 0
51499, 1, 0
8385, 1, 0
15512, 0, 1
1104, 0, 1
20076, 0, 1
60174, 0, 1
4422, 1, 0
25751, 0, 1
16874, 0, 1
19170, 0, 1
3610, 0, 1
49672, 0, 1
36425, 1, 0
23497, 1, 0
25856, 0, 1
4595, 0, 1
56612, 0, 1
48350, 1, 0
16314, 1, 0
48913, 0, 1
24265, 1, 0
31250, 0, 1
23364, 0, 1
20746, 0, 1
22857, 0, 1
59632, 0, 1
12633, 1, 0
58615, 0, 1
7984, 1, 0
45404, 0, 1
564, 1, 0
34419, 0, 1
53610, 1, 0
50929, 1, 0
44344, 1, 0
51933, 1, 0
19386, 1, 0
23474, 0, 1
45228, 0, 1
16256, 1, 0
54738, 0, 1
2329, 1, 0
2671, 0, 1
11074, 0, 1
37817, 0, 1
3003, 1, 0
19375, 0, 1
993, 0, 1
43190, 0, 1
30662, 1, 0
36938, 0, 1
44206, 1, 0
25365, 1, 0
51261, 0, 1
20847, 1, 0
61435, 0, 1
25095, 1, 0
46951, 0, 1
29492, 1, 0
22823, 0, 1
3874, 0, 1
29586, 0, 1
18728, 0, 1
10050, 0, 1
24620, 0, 1
32476, 0, 1
59900, 0, 1
23434, 1, 0
54861, 0, 1
13717, 1, 0
9345, 0, 1
49289, 0, 1
1093, 1, 0
26670, 0, 1
9139, 0, 1
57269, 0, 1
49586, 1, 0
25034, 1, 0
12810, 0, 1
24325, 0, 1
14213, 0, 1
7125, 0, 1
46464, 0, 1
12870, 1, 0
48662, 0, 1
50544, 1, 0
21741, 1, 0
15673, 0, 1
24149, 0, 1
50069, 0, 1
15207, 1, 0
36586, 0, 1
27648, 1, 0
58984, 0, 1
43992, 1, 0
44366, 1, 0
37791, 1, 0
27073, 1, 0
11905, 0, 1
63113, 0, 1
21934, 1, 0
59575, 0, 1
28911, 1, 0
13157, 0, 1
4697, 0, 1
9163, 0, 1
56781, 0, 1
