int address,bool busy,int byte_sel,int data_from_bus,int data_to_bus,bool error_from_bus,int next_state,bool ready_from_bus,bool request,bool reset,int state,bool wb_ack,int wb_adr,bool wb_cyc,int wb_dat_i,int wb_dat_o,bool wb_err,bool wb_rst,int wb_sel,bool wb_stall,bool wb_stb,bool wb_we,bool write
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
32,1,1,0,1,0,2,0,1,0,2,0,32,1,0,1,0,0,1,0,1,1,1
32,1,0,-1,1,0,1,1,0,0,2,1,32,1,-1,1,0,0,1,0,1,1,0
32,0,0,0,1,0,1,0,0,0,1,0,32,0,0,1,0,0,1,0,0,1,0
0,0,15,0,287524199,0,2,0,1,0,1,0,32,0,0,1,0,0,0,0,0,0,1
0,1,15,0,287524199,0,2,0,1,0,2,0,0,1,0,287524199,0,0,15,0,1,1,1
0,1,0,-1,287524199,0,1,1,0,0,2,1,0,1,-1,287524199,0,0,15,0,1,1,0
0,0,0,0,287524199,0,1,0,0,0,1,0,0,0,0,287524199,0,0,15,0,0,1,0
4,0,15,0,-1985229329,0,2,0,1,0,1,0,0,0,0,287524199,0,0,0,0,0,0,1
4,1,15,0,-1985229329,0,2,0,1,0,2,0,4,1,0,-1985229329,0,0,15,0,1,1,1
4,1,0,-1,-1985229329,0,1,1,0,0,2,1,4,1,-1,-1985229329,0,0,15,0,1,1,0
4,0,0,0,-1985229329,0,1,0,0,0,1,0,4,0,0,-1985229329,0,0,15,0,0,1,0
8,0,15,0,-305419897,0,2,0,1,0,1,0,4,0,0,-1985229329,0,0,0,0,0,0,1
8,1,15,0,-305419897,0,2,0,1,0,2,0,8,1,0,-305419897,0,0,15,0,1,1,1
8,1,0,-1,-305419897,0,1,1,0,0,2,1,8,1,-1,-305419897,0,0,15,0,1,1,0
8,0,0,0,-305419897,0,1,0,0,0,1,0,8,0,0,-305419897,0,0,15,0,0,1,0
12,0,15,0,1985229328,0,2,0,1,0,1,0,8,0,0,-305419897,0,0,0,0,0,0,1
12,1,15,0,1985229328,0,2,0,1,0,2,0,12,1,0,1985229328,0,0,15,0,1,1,1
12,1,0,-1,1985229328,0,1,1,0,0,2,1,12,1,-1,1985229328,0,0,15,0,1,1,0
12,0,0,0,1985229328,0,1,0,0,0,1,0,12,0,0,1985229328,0,0,15,0,0,1,0
32,0,8,0,1,0,2,0,1,0,1,0,12,0,0,1985229328,0,0,0,0,0,0,1
32,1,8,0,1,0,2,0,1,0,2,0,32,1,0,1,0,0,8,0,1,1,1
32,1,0,-1,1,0,1,1,0,0,2,1,32,1,-1,1,0,0,8,0,1,1,0
32,0,0,0,1,0,1,0,0,0,1,0,32,0,0,1,0,0,8,0,0,1,0
52,0,1,0,1,0,2,0,1,0,1,0,32,0,0,1,0,0,0,0,0,0,0
52,1,1,0,1,0,2,0,1,0,2,0,52,1,0,1,0,0,1,0,1,0,0
52,1,1,1,1,0,1,1,1,0,2,1,52,1,1,1,0,0,1,0,1,0,0
52,0,0,0,1,0,1,0,0,0,1,0,52,0,0,1,0,0,1,0,0,0,0
52,0,0,0,1,0,1,0,0,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,1,1,0,1,0,2,0,1,0,2,0,52,1,0,1,0,0,1,0,1,0,0
52,1,1,0,1,0,1,1,1,0,2,1,52,1,0,1,0,0,1,0,1,0,0
52,0,0,0,1,0,1,0,0,0,1,0,52,0,0,1,0,0,1,0,0,0,0
52,0,0,0,1,0,1,0,0,0,1,0,52,0,0,1,0,0,0,0,0,0,0
16,0,15,0,1077952576,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,1
16,1,15,0,1077952576,0,2,0,1,0,2,0,16,1,0,1077952576,0,0,15,0,1,1,1
16,1,0,-1,1077952576,0,1,1,0,0,2,1,16,1,-1,1077952576,0,0,15,0,1,1,0
16,0,0,0,1077952576,0,1,0,0,0,1,0,16,0,0,1077952576,0,0,15,0,0,1,0
20,0,15,0,808464432,0,2,0,1,0,1,0,16,0,0,1077952576,0,0,0,0,0,0,1
