int address,bool busy,int byte_sel,int data_from_bus,int data_to_bus,bool error_from_bus,int next_state,bool ready_from_bus,bool request,bool reset,int state,bool wb_ack,int wb_adr,bool wb_cyc,int wb_dat_i,int wb_dat_o,bool wb_err,bool wb_rst,int wb_sel,bool wb_stall,bool wb_stb,bool wb_we,bool write
32,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,15,0,287524199,0,2,0,1,0,1,0,32,0,0,1,0,0,0,0,0,0,1
4,0,15,0,-1985229329,0,2,0,1,0,1,0,0,0,0,287524199,0,0,0,0,0,0,1
8,0,15,0,-305419897,0,2,0,1,0,1,0,4,0,0,-1985229329,0,0,0,0,0,0,1
12,0,15,0,1985229328,0,2,0,1,0,1,0,8,0,0,-305419897,0,0,0,0,0,0,1
32,0,8,0,1,0,2,0,1,0,1,0,12,0,0,1985229328,0,0,0,0,0,0,1
52,0,1,0,1,0,2,0,1,0,1,0,32,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
16,0,15,0,1077952576,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,1
20,0,15,0,808464432,0,2,0,1,0,1,0,16,0,0,1077952576,0,0,0,0,0,0,1
24,0,15,0,538976288,0,2,0,1,0,1,0,20,0,0,808464432,0,0,0,0,0,0,1
28,0,15,0,269488144,0,2,0,1,0,1,0,24,0,0,538976288,0,0,0,0,0,0,1
32,0,4,0,1,0,2,0,1,0,1,0,28,0,0,269488144,0,0,0,0,0,0,1
52,0,1,0,1,0,2,0,1,0,1,0,32,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
36,0,15,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
40,0,15,0,1,0,2,0,1,0,1,0,36,0,0,1,0,0,0,0,0,0,0
44,0,15,0,1,0,2,0,1,0,1,0,40,0,0,1,0,0,0,0,0,0,0
48,0,15,0,1,0,2,0,1,0,1,0,44,0,0,1,0,0,0,0,0,0,0
96,0,1,0,210,0,2,0,1,0,1,0,48,0,0,1,0,0,0,0,0,0,1
96,0,1,0,212,0,2,0,1,0,1,0,96,0,0,210,0,0,0,0,0,0,1
96,0,1,0,236,0,2,0,1,0,1,0,96,0,0,212,0,0,0,0,0,0,1
96,0,1,0,19,0,2,0,1,0,1,0,96,0,0,236,0,0,0,0,0,0,1
96,0,1,0,236,0,2,0,1,0,1,0,96,0,0,19,0,0,0,0,0,0,1
96,0,1,0,61,0,2,0,1,0,1,0,96,0,0,236,0,0,0,0,0,0,1
96,0,1,0,16,0,2,0,1,0,1,0,96,0,0,61,0,0,0,0,0,0,1
96,0,1,0,138,0,2,0,1,0,1,0,96,0,0,16,0,0,0,0,0,0,1
96,0,1,0,126,0,2,0,1,0,1,0,96,0,0,138,0,0,0,0,0,0,1
96,0,1,0,63,0,2,0,1,0,1,0,96,0,0,126,0,0,0,0,0,0,1
96,0,1,0,7,0,2,0,1,0,1,0,96,0,0,63,0,0,0,0,0,0,1
96,0,1,0,35,0,2,0,1,0,1,0,96,0,0,7,0,0,0,0,0,0,1
96,0,1,0,131,0,2,0,1,0,1,0,96,0,0,35,0,0,0,0,0,0,1
96,0,1,0,170,0,2,0,1,0,1,0,96,0,0,131,0,0,0,0,0,0,1
96,0,1,0,67,0,2,0,1,0,1,0,96,0,0,170,0,0,0,0,0,0,1
96,0,1,0,84,0,2,0,1,0,1,0,96,0,0,67,0,0,0,0,0,0,1
16,0,15,0,334288082,0,2,0,1,0,1,0,96,0,0,84,0,0,0,0,0,0,1
20,0,15,0,-1978647060,0,2,0,1,0,1,0,16,0,0,334288082,0,0,0,0,0,0,1
24,0,15,0,587677566,0,2,0,1,0,1,0,20,0,0,-1978647060,0,0,0,0,0,0,1
28,0,15,0,1413720707,0,2,0,1,0,1,0,24,0,0,587677566,0,0,0,0,0,0,1
32,0,6,0,1,0,2,0,1,0,1,0,28,0,0,1413720707,0,0,0,0,0,0,1
52,0,1,0,1,0,2,0,1,0,1,0,32,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
36,0,15,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
40,0,15,0,1,0,2,0,1,0,1,0,36,0,0,1,0,0,0,0,0,0,0
44,0,15,0,1,0,2,0,1,0,1,0,40,0,0,1,0,0,0,0,0,0,0
48,0,15,0,1,0,2,0,1,0,1,0,44,0,0,1,0,0,0,0,0,0,0
0,0,15,0,-1985229329,0,2,0,1,0,1,0,48,0,0,1,0,0,0,0,0,0,1
4,0,15,0,-305419897,0,2,0,1,0,1,0,0,0,0,-1985229329,0,0,0,0,0,0,1
8,0,15,0,1985229328,0,2,0,1,0,1,0,4,0,0,-305419897,0,0,0,0,0,0,1
12,0,15,0,287524199,0,2,0,1,0,1,0,8,0,0,1985229328,0,0,0,0,0,0,1
32,0,8,0,1,0,2,0,1,0,1,0,12,0,0,287524199,0,0,0,0,0,0,1
52,0,1,0,1,0,2,0,1,0,1,0,32,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
16,0,15,0,269488144,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,1
20,0,15,0,1077952576,0,2,0,1,0,1,0,16,0,0,269488144,0,0,0,0,0,0,1
24,0,15,0,808464432,0,2,0,1,0,1,0,20,0,0,1077952576,0,0,0,0,0,0,1
28,0,15,0,538976288,0,2,0,1,0,1,0,24,0,0,808464432,0,0,0,0,0,0,1
32,0,4,0,1,0,2,0,1,0,1,0,28,0,0,538976288,0,0,0,0,0,0,1
52,0,1,0,1,0,2,0,1,0,1,0,32,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
52,0,1,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
36,0,15,0,1,0,2,0,1,0,1,0,52,0,0,1,0,0,0,0,0,0,0
40,0,15,0,1,0,2,0,1,0,1,0,36,0,0,1,0,0,0,0,0,0,0
44,0,15,0,1,0,2,0,1,0,1,0,40,0,0,1,0,0,0,0,0,0,0
48,0,15,0,1,0,2,0,1,0,1,0,44,0,0,1,0,0,0,0,0,0,0
96,0,1,0,32,0,2,0,1,0,1,0,48,0,0,1,0,0,0,0,0,0,1
96,0,1,0,28,0,2,0,1,0,1,0,96,0,0,32,0,0,0,0,0,0,1
96,0,1,0,33,0,2,0,1,0,1,0,96,0,0,28,0,0,0,0,0,0,1
96,0,1,0,50,0,2,0,1,0,1,0,96,0,0,33,0,0,0,0,0,0,1
96,0,1,0,146,0,2,0,1,0,1,0,96,0,0,50,0,0,0,0,0,0,1
96,0,1,0,130,0,2,0,1,0,1,0,96,0,0,146,0,0,0,0,0,0,1
96,0,1,0,188,0,2,0,1,0,1,0,96,0,0,130,0,0,0,0,0,0,1
