uint32_t address,bool busy,uint64_t byte_sel,uint32_t data_from_bus,uint32_t data_to_bus,bool error_from_bus,uint64_t next_state,bool ready_from_bus,bool request,bool reset,uint64_t state,bool wb_ack,uint32_t wb_adr,bool wb_cyc,uint32_t wb_dat_i,uint32_t wb_dat_o,bool wb_err,bool wb_rst,uint64_t wb_sel,bool wb_stall,bool wb_stb,bool wb_we,bool write
0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32, 0, 1, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
32, 1, 1, 0, 1, 0, 2, 0, 1, 0, 2, 0, 32, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1
32, 1, 0, 4294967295, 1, 0, 1, 1, 0, 0, 2, 1, 32, 1, 4294967295, 1, 0, 0, 1, 0, 1, 1, 0
32, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 32, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0
0, 0, 15, 0, 287524199, 0, 2, 0, 1, 0, 1, 0, 32, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
0, 1, 15, 0, 287524199, 0, 2, 0, 1, 0, 2, 0, 0, 1, 0, 287524199, 0, 0, 15, 0, 1, 1, 1
0, 1, 0, 4294967295, 287524199, 0, 1, 1, 0, 0, 2, 1, 0, 1, 4294967295, 287524199, 0, 0, 15, 0, 1, 1, 0
0, 0, 0, 0, 287524199, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 287524199, 0, 0, 15, 0, 0, 1, 0
4, 0, 15, 0, 2309737967, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 287524199, 0, 0, 0, 0, 0, 0, 1
4, 1, 15, 0, 2309737967, 0, 2, 0, 1, 0, 2, 0, 4, 1, 0, 2309737967, 0, 0, 15, 0, 1, 1, 1
4, 1, 0, 4294967295, 2309737967, 0, 1, 1, 0, 0, 2, 1, 4, 1, 4294967295, 2309737967, 0, 0, 15, 0, 1, 1, 0
4, 0, 0, 0, 2309737967, 0, 1, 0, 0, 0, 1, 0, 4, 0, 0, 2309737967, 0, 0, 15, 0, 0, 1, 0
8, 0, 15, 0, 3989547399, 0, 2, 0, 1, 0, 1, 0, 4, 0, 0, 2309737967, 0, 0, 0, 0, 0, 0, 1
8, 1, 15, 0, 3989547399, 0, 2, 0, 1, 0, 2, 0, 8, 1, 0, 3989547399, 0, 0, 15, 0, 1, 1, 1
8, 1, 0, 4294967295, 3989547399, 0, 1, 1, 0, 0, 2, 1, 8, 1, 4294967295, 3989547399, 0, 0, 15, 0, 1, 1, 0
8, 0, 0, 0, 3989547399, 0, 1, 0, 0, 0, 1, 0, 8, 0, 0, 3989547399, 0, 0, 15, 0, 0, 1, 0
12, 0, 15, 0, 1985229328, 0, 2, 0, 1, 0, 1, 0, 8, 0, 0, 3989547399, 0, 0, 0, 0, 0, 0, 1
12, 1, 15, 0, 1985229328, 0, 2, 0, 1, 0, 2, 0, 12, 1, 0, 1985229328, 0, 0, 15, 0, 1, 1, 1
12, 1, 0, 4294967295, 1985229328, 0, 1, 1, 0, 0, 2, 1, 12, 1, 4294967295, 1985229328, 0, 0, 15, 0, 1, 1, 0
12, 0, 0, 0, 1985229328, 0, 1, 0, 0, 0, 1, 0, 12, 0, 0, 1985229328, 0, 0, 15, 0, 0, 1, 0
32, 0, 8, 0, 1, 0, 2, 0, 1, 0, 1, 0, 12, 0, 0, 1985229328, 0, 0, 0, 0, 0, 0, 1
32, 1, 8, 0, 1, 0, 2, 0, 1, 0, 2, 0, 32, 1, 0, 1, 0, 0, 8, 0, 1, 1, 1
32, 1, 0, 4294967295, 1, 0, 1, 1, 0, 0, 2, 1, 32, 1, 4294967295, 1, 0, 0, 8, 0, 1, 1, 0
32, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 32, 0, 0, 1, 0, 0, 8, 0, 0, 1, 0
52, 0, 1, 0, 1, 0, 2, 0, 1, 0, 1, 0, 32, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
