int a,int b,int cin,int sum,int cout
5,13,1,19,0
193,92,0,29,1
208,49,0,1,1
13,15,0,28,0
248,11,0,3,1
223,35,1,3,1
221,41,1,7,1
6,6,0,12,0
210,45,1,0,1
226,33,1,4,1
54,200,0,254,0
9,8,0,17,0
213,45,0,2,1
19,10,1,30,0
14,200,1,215,0
217,38,1,0,1
251,164,1,160,1
232,23,1,0,1
210,50,0,4,1
234,25,1,4,1
216,40,1,1,1
147,48,0,195,0
224,38,0,6,1
248,7,1,0,1
28,160,0,188,0
237,21,1,3,1
88,117,0,205,0
220,36,1,1,1
5,5,1,11,0
11,1,1,13,0
242,14,0,0,1
2,7,1,10,0
208,163,1,116,1
229,29,1,3,1
218,44,1,7,1
