int presetn,int psel,int penable,int pwrite,int paddr,int pwdata,int prdata,int pready,int pslverr
1,0,0,0,0,0,0,0,0
1,1,0,1,3,193,0,0,0
1,1,1,1,3,193,0,0,0
1,1,1,1,3,193,0,0,0
1,1,1,1,3,193,0,0,0
1,1,1,1,3,193,0,1,0
1,0,0,1,3,193,0,0,0
1,1,0,0,3,193,0,0,0
1,1,1,0,3,193,0,0,0
1,1,1,0,3,193,0,0,0
1,1,1,0,3,193,0,0,0
1,1,1,0,3,193,193,1,0
1,0,0,0,3,193,193,0,0
1,1,0,0,3,193,193,0,0
1,1,1,0,3,193,193,0,0
1,1,1,0,3,193,193,0,0
1,1,1,0,3,193,193,0,0
1,1,1,0,3,193,193,1,0
1,0,0,0,3,193,193,0,0
1,0,0,0,0,0,193,0,0
1,1,0,1,0,212,193,0,0
1,1,1,1,0,212,193,0,0
1,1,1,1,0,212,193,1,0
1,0,0,1,0,212,193,1,0
1,1,0,1,3,220,193,0,0
1,1,1,1,3,220,193,0,0
1,1,1,1,3,220,193,0,0
1,1,1,1,3,220,193,0,0
1,1,1,1,3,220,193,1,0
1,0,0,1,3,220,193,0,0
1,1,0,1,1,97,193,0,0
1,1,1,1,1,97,193,0,0
1,1,1,1,1,97,193,1,0
1,0,0,1,1,97,193,1,0
1,1,0,1,3,166,193,0,0
1,1,1,1,3,166,193,0,0
1,1,1,1,3,166,193,0,0
1,1,1,1,3,166,193,0,0
1,1,1,1,3,166,193,1,0
1,0,0,1,3,166,193,0,0
1,0,0,0,0,0,193,0,0
1,0,0,0,0,0,193,0,0
1,0,0,0,0,0,193,0,0
1,0,0,0,0,0,193,0,0
