int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,204,205,0,0,2
1,0,0,204,205,0,0,2
1,0,1,204,205,0,0,2
1,0,0,204,204,0,0,1
1,0,1,204,204,0,0,1
1,0,0,204,189,0,1,0
1,0,0,204,189,0,1,0
1,0,0,204,189,0,1,0
1,0,0,204,189,0,1,0
1,0,0,204,189,0,1,0
1,0,0,204,189,0,1,0
1,0,0,204,189,0,1,0
1,0,0,204,189,0,1,0
0,0,0,204,189,0,1,0
0,0,0,204,131,0,1,0
1,0,0,204,131,0,1,0
1,0,0,204,131,0,1,0
1,1,0,30,131,0,1,0
1,0,0,30,30,0,0,1
1,1,0,33,30,0,0,1
1,0,0,33,30,0,0,2
1,1,0,89,30,0,0,2
1,0,0,89,30,0,0,3
0,0,0,89,30,0,0,3
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
0,0,0,89,30,0,1,0
0,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
0,0,0,89,30,0,1,0
0,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
0,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,0,0,89,30,0,1,0
1,1,0,82,30,0,1,0
1,0,0,82,82,0,0,1
1,1,0,133,82,0,0,1
