int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,117,208,0,0,6
1,1,0,193,208,0,0,6
1,0,0,193,208,0,0,7
1,1,0,64,208,0,0,7
1,0,0,64,208,1,0,8
1,0,0,64,208,1,0,8
1,0,0,64,208,1,0,8
1,0,0,64,208,1,0,8
1,0,1,64,208,1,0,8
1,0,0,64,174,0,0,7
1,0,1,64,174,0,0,7
1,0,0,64,251,0,0,6
1,0,1,64,251,0,0,6
1,0,0,64,18,0,0,5
1,1,0,133,18,0,0,5
1,0,0,133,18,0,0,6
1,1,0,194,18,0,0,6
1,0,0,194,18,0,0,7
1,1,0,255,18,0,0,7
1,0,0,255,18,1,0,8
1,0,0,255,18,1,0,8
1,0,0,255,18,1,0,8
1,0,0,255,18,1,0,8
1,0,0,255,18,1,0,8
1,0,1,255,18,1,0,8
1,0,0,255,229,0,0,7
1,0,1,255,229,0,0,7
1,0,0,255,117,0,0,6
