int rst_n,int start,int ain,int bin,int yout,int done
0,0,15442,11594,0,0
1,0,15442,11594,0,0
1,1,12696,27025,0,0
1,1,12696,27025,0,0
1,1,12696,27025,0,0
1,1,12696,27025,0,0
1,1,12696,27025,0,0
1,1,12696,27025,216200,0
1,1,12696,27025,648600,0
1,1,12696,27025,648600,0
1,1,12696,27025,648600,0
1,1,12696,27025,4107800,0
1,1,12696,27025,11026200,0
1,1,12696,27025,11026200,0
1,1,12696,27025,11026200,0
1,1,12696,27025,11026200,0
1,1,12696,27025,121720600,0
1,1,12696,27025,343109400,0
1,1,12696,27025,343109400,0
1,1,12696,27025,343109400,1
1,1,12696,27025,343109400,0
1,1,12696,27025,343109400,0
1,0,12696,27025,343109400,0
1,0,12696,27025,343109400,0
1,0,12696,27025,343109400,0
1,0,12696,27025,343109400,0
1,0,12696,27025,343109400,0
1,0,12696,27025,343109400,0
1,0,12696,27025,343109400,0
1,0,12696,27025,343109400,0
1,0,12696,27025,343109400,0
1,0,12696,27025,343109400,0
1,0,12696,27025,343109400,0
1,0,12696,27025,343109400,0
1,0,12696,27025,343109400,0
0,0,12696,27025,0,0
0,0,12696,27025,0,0
1,0,12696,27025,0,0
1,1,43405,53919,0,0
1,1,43405,53919,0,0
1,1,43405,53919,53919,0
1,1,43405,53919,53919,0
1,1,43405,53919,269595,0
1,1,43405,53919,700947,0
1,1,43405,53919,700947,0
1,1,43405,53919,700947,0
1,1,43405,53919,700947,0
1,1,43405,53919,7602579,0
1,1,43405,53919,21405843,0
1,1,43405,53919,21405843,0
1,1,43405,53919,21405843,0
1,1,43405,53919,131831955,0
1,1,43405,53919,131831955,0
1,1,43405,53919,573536403,0
1,1,43405,53919,573536403,0
1,1,43405,53919,2340354195,1
1,1,43405,53919,2340354195,0
1,1,43405,53919,2340354195,0
1,0,43405,53919,2340354195,0
1,0,43405,53919,2340354195,0
1,0,43405,53919,2340354195,0
1,0,43405,53919,2340354195,0
0,0,43405,53919,0,0
0,0,43405,53919,0,0
1,0,43405,53919,0,0
1,1,32202,39469,0,0
1,1,32202,39469,0,0
1,1,32202,39469,0,0
1,1,32202,39469,78938,0
1,1,32202,39469,78938,0
1,1,32202,39469,394690,0
1,1,32202,39469,394690,0
1,1,32202,39469,394690,0
1,1,32202,39469,2920706,0
1,1,32202,39469,7972738,0
1,1,32202,39469,18076802,0
1,1,32202,39469,18076802,0
1,1,32202,39469,58493058,0
1,1,32202,39469,139325570,0
1,1,32202,39469,300990594,0
1,1,32202,39469,624320642,0
1,1,32202,39469,1270980738,0
1,1,32202,39469,1270980738,1
1,1,32202,39469,1270980738,0
1,1,32202,39469,1270980738,0
1,0,32202,39469,1270980738,0
1,0,32202,39469,1270980738,0
1,0,32202,39469,1270980738,0
1,0,32202,39469,1270980738,0
1,0,32202,39469,1270980738,0
1,0,32202,39469,1270980738,0
1,0,32202,39469,1270980738,0
0,0,32202,39469,0,0
0,0,32202,39469,0,0
1,0,32202,39469,0,0
1,1,4439,31432,0,0
1,1,4439,31432,0,0
1,1,4439,31432,31432,0
1,1,4439,31432,94296,0
1,1,4439,31432,220024,0
1,1,4439,31432,220024,0
1,1,4439,31432,722936,0
1,1,4439,31432,722936,0
1,1,4439,31432,2734584,0
1,1,4439,31432,2734584,0
1,1,4439,31432,10781176,0
1,1,4439,31432,10781176,0
1,1,4439,31432,10781176,0
1,1,4439,31432,10781176,0
1,1,4439,31432,139526648,0
1,1,4439,31432,139526648,0
1,1,4439,31432,139526648,0
1,1,4439,31432,139526648,1
1,1,4439,31432,139526648,0
1,1,4439,31432,139526648,0
1,0,4439,31432,139526648,0
