int rst,int start,int in,int out,int error,int done
0,0,0,125,0,1
0,0,0,125,0,1
0,1,-60282,125,0,1
0,0,0,0,1,1
0,0,0,0,1,1
0,0,0,0,1,1
0,1,14981,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,122,0,1
0,0,0,122,0,1
0,0,0,122,0,1
0,0,0,122,0,1
0,1,-8915,122,0,1
0,0,0,0,1,1
0,0,0,0,1,1
0,1,-3064,0,1,1
0,0,0,0,1,1
0,0,0,0,1,1
0,0,0,0,1,1
0,1,21658,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,147,0,1
0,0,0,147,0,1
0,0,0,147,0,1
0,0,0,147,0,1
0,0,0,147,0,1
0,0,0,147,0,1
0,0,0,147,0,1
