int a,int b,int cin,int sum,int cout
13,7,1,21,0
246,13,0,3,1
212,44,1,1,1
209,48,1,2,1
246,195,0,185,1
247,14,0,5,1
4,4,1,9,0
208,51,1,4,1
240,17,1,2,1
208,48,0,0,1
72,27,1,100,0
198,31,0,229,0
210,50,1,5,1
252,8,1,5,1
3,12,1,16,0
6,0,0,6,0
217,45,0,6,1
123,75,1,199,0
11,10,0,21,0
73,229,0,46,1
10,15,0,25,0
246,12,1,3,1
207,54,1,6,1
9,11,1,21,0
160,50,1,211,0
12,183,0,195,0
238,23,1,6,1
246,15,0,5,1
11,2,1,14,0
248,90,1,83,1
229,30,0,3,1
118,243,1,106,1
249,11,0,4,1
3,8,0,11,0
231,29,0,4,1
243,17,1,5,1
246,13,1,4,1
