int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,248,25,0,0,4
1,0,0,248,25,0,0,4
0,0,0,248,25,0,0,4
1,0,0,248,65,0,1,0
1,0,0,248,65,0,1,0
1,0,0,248,65,0,1,0
1,0,0,248,65,0,1,0
1,0,0,248,65,0,1,0
1,0,0,248,65,0,1,0
0,0,0,248,65,0,1,0
1,0,0,248,65,0,1,0
1,0,0,248,65,0,1,0
1,0,0,248,65,0,1,0
1,0,0,248,65,0,1,0
1,0,0,248,65,0,1,0
1,0,0,248,65,0,1,0
1,1,0,170,65,0,1,0
1,0,0,170,170,0,0,1
1,0,0,170,170,0,0,1
1,1,0,15,170,0,0,1
1,0,0,15,170,0,0,2
0,0,0,15,170,0,0,2
1,0,0,15,170,0,1,0
1,0,0,15,170,0,1,0
1,0,0,15,170,0,1,0
1,0,0,15,170,0,1,0
1,0,0,15,170,0,1,0
1,1,0,60,170,0,1,0
1,0,0,60,60,0,0,1
1,0,1,60,60,0,0,1
1,0,0,60,15,0,1,0
1,0,0,60,15,0,1,0
1,0,0,60,15,0,1,0
1,0,0,60,15,0,1,0
1,0,0,60,15,0,1,0
0,0,0,60,15,0,1,0
0,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
0,0,0,60,60,0,1,0
0,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
0,0,0,60,60,0,1,0
0,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
1,0,0,60,60,0,1,0
