int rst_n,int wr_en,int rd_en,int din,int dout,int full,int empty,int count
1,0,0,77,8,0,0,6
1,1,0,163,8,0,0,6
1,0,0,163,8,0,0,7
1,0,0,163,8,0,0,7
1,0,0,163,8,0,0,7
1,1,0,190,8,0,0,7
1,0,0,190,8,1,0,8
1,0,1,190,8,1,0,8
1,0,0,190,83,0,0,7
1,0,1,190,83,0,0,7
1,0,0,190,145,0,0,6
1,1,1,236,145,0,0,6
1,0,0,236,5,0,0,6
1,1,0,208,5,0,0,6
1,0,0,208,5,0,0,7
1,1,0,116,5,0,0,7
1,0,0,116,5,1,0,8
1,0,1,116,5,1,0,8
1,0,0,116,53,0,0,7
1,0,1,116,53,0,0,7
1,0,0,116,77,0,0,6
1,0,0,116,77,0,0,6
