int rst_n,int start,int ain,int bin,int yout,int done
0,0,0,0,0,0
1,0,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,1
1,1,0,0,0,0
1,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,1
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
0,0,1,1,0,0
0,0,1,1,0,0
1,0,1,1,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,0
1,1,0,12345,0,1
1,1,0,12345,0,0
1,1,0,12345,0,0
1,0,0,12345,0,0
1,0,0,12345,0,0
1,0,0,12345,0,0
0,0,0,12345,0,0
0,0,0,12345,0,0
1,0,0,12345,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,0
1,1,12345,0,0,1
1,1,12345,0,0,0
1,1,12345,0,0,0
1,0,12345,0,0,0
0,0,12345,0,0,0
0,0,12345,0,0,0
1,0,12345,0,0,0
1,1,1,65535,0,0
1,1,1,65535,0,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,1,1,65535,65535,1
1,1,1,65535,65535,0
1,1,1,65535,65535,0
1,0,1,65535,65535,0
1,0,1,65535,65535,0
0,0,1,65535,0,0
0,0,1,65535,0,0
1,0,1,65535,0,0
1,1,65535,65535,0,0
1,1,65535,65535,0,0
1,1,65535,65535,65535,0
1,1,65535,65535,196605,0
1,1,65535,65535,458745,0
1,1,65535,65535,983025,0
1,1,65535,65535,2031585,0
1,1,65535,65535,4128705,0
1,1,65535,65535,8322945,0
1,1,65535,65535,16711425,0
1,1,65535,65535,33488385,0
1,1,65535,65535,67042305,0
1,1,65535,65535,134150145,0
1,1,65535,65535,268365825,0
1,1,65535,65535,536797185,0
1,1,65535,65535,1073659905,0
1,1,65535,65535,2147385345,0
1,1,65535,65535,4294836225,1
1,1,65535,65535,4294836225,0
1,1,65535,65535,4294836225,0
1,0,65535,65535,4294836225,0
1,0,65535,65535,4294836225,0
1,0,65535,65535,4294836225,0
1,0,65535,65535,4294836225,0
0,0,65535,65535,0,0
0,0,65535,65535,0,0
1,0,65535,65535,0,0
1,1,256,256,0,0
1,1,256,256,0,0
1,1,256,256,0,0
1,1,256,256,0,0
1,1,256,256,0,0
1,1,256,256,0,0
1,1,256,256,0,0
1,1,256,256,0,0
1,1,256,256,0,0
1,1,256,256,0,0
1,1,256,256,65536,0
1,1,256,256,65536,0
1,1,256,256,65536,0
1,1,256,256,65536,0
1,1,256,256,65536,0
1,1,256,256,65536,0
1,1,256,256,65536,0
1,1,256,256,65536,1
1,1,256,256,65536,0
1,1,256,256,65536,0
1,0,256,256,65536,0
0,0,256,256,0,0
0,0,256,256,0,0
1,0,256,256,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,0,0
1,1,32768,2,65536,1
1,1,32768,2,65536,0
1,1,32768,2,65536,0
1,0,32768,2,65536,0
1,0,32768,2,65536,0
0,0,32768,2,0,0
0,0,32768,2,0,0
1,0,32768,2,0,0
1,1,41683,13193,0,0
1,1,41683,13193,0,0
1,1,41683,13193,13193,0
1,1,41683,13193,39579,0
1,1,41683,13193,39579,0
1,1,41683,13193,39579,0
1,1,41683,13193,250667,0
1,1,41683,13193,250667,0
1,1,41683,13193,1095019,0
1,1,41683,13193,2783723,0
1,1,41683,13193,2783723,0
1,1,41683,13193,9538539,0
1,1,41683,13193,9538539,0
1,1,41683,13193,9538539,0
1,1,41683,13193,9538539,0
1,1,41683,13193,117615595,0
1,1,41683,13193,117615595,0
1,1,41683,13193,549923819,1
1,1,41683,13193,549923819,0
1,1,41683,13193,549923819,0
1,0,41683,13193,549923819,0
1,0,41683,13193,549923819,0
1,0,41683,13193,549923819,0
1,0,41683,13193,549923819,0
1,0,41683,13193,549923819,0
0,0,41683,13193,0,0
0,0,41683,13193,0,0
1,0,41683,13193,0,0
1,1,26341,47680,0,0
1,1,26341,47680,0,0
1,1,26341,47680,47680,0
1,1,26341,47680,47680,0
1,1,26341,47680,238400,0
1,1,26341,47680,238400,0
1,1,26341,47680,238400,0
1,1,26341,47680,1764160,0
1,1,26341,47680,4815680,0
1,1,26341,47680,10918720,0
1,1,26341,47680,10918720,0
1,1,26341,47680,35330880,0
1,1,26341,47680,84155200,0
1,1,26341,47680,84155200,0
1,1,26341,47680,84155200,0
1,1,26341,47680,474749760,0
1,1,26341,47680,1255938880,0
1,1,26341,47680,1255938880,1
1,1,26341,47680,1255938880,0
1,1,26341,47680,1255938880,0
1,0,26341,47680,1255938880,0
1,0,26341,47680,1255938880,0
1,0,26341,47680,1255938880,0
1,0,26341,47680,1255938880,0
1,0,26341,47680,1255938880,0
1,0,26341,47680,1255938880,0
1,0,26341,47680,1255938880,0
1,0,26341,47680,1255938880,0
1,0,26341,47680,1255938880,0
1,0,26341,47680,1255938880,0
1,0,26341,47680,1255938880,0
1,0,26341,47680,1255938880,0
0,0,26341,47680,0,0
0,0,26341,47680,0,0
1,0,26341,47680,0,0
1,1,40260,3165,0,0
1,1,40260,3165,0,0
1,1,40260,3165,0,0
1,1,40260,3165,0,0
1,1,40260,3165,12660,0
1,1,40260,3165,12660,0
1,1,40260,3165,12660,0
1,1,40260,3165,12660,0
1,1,40260,3165,215220,0
1,1,40260,3165,215220,0
1,1,40260,3165,1025460,0
1,1,40260,3165,1025460,0
1,1,40260,3165,4266420,0
1,1,40260,3165,10748340,0
1,1,40260,3165,23712180,0
1,1,40260,3165,23712180,0
1,1,40260,3165,23712180,0
1,1,40260,3165,127422900,1
1,1,40260,3165,127422900,0
1,1,40260,3165,127422900,0
1,0,40260,3165,127422900,0
1,0,40260,3165,127422900,0
1,0,40260,3165,127422900,0
1,0,40260,3165,127422900,0
1,0,40260,3165,127422900,0
1,0,40260,3165,127422900,0
1,0,40260,3165,127422900,0
1,0,40260,3165,127422900,0
1,0,40260,3165,127422900,0
1,0,40260,3165,127422900,0
1,0,40260,3165,127422900,0
1,0,40260,3165,127422900,0
1,0,40260,3165,127422900,0
0,0,40260,3165,0,0
0,0,40260,3165,0,0
1,0,40260,3165,0,0
1,1,6835,36983,0,0
1,1,6835,36983,0,0
1,1,6835,36983,36983,0
1,1,6835,36983,110949,0
1,1,6835,36983,110949,0
1,1,6835,36983,110949,0
1,1,6835,36983,702677,0
1,1,6835,36983,1886133,0
1,1,6835,36983,1886133,0
1,1,6835,36983,6619957,0
1,1,6835,36983,6619957,0
1,1,6835,36983,25555253,0
1,1,6835,36983,25555253,0
1,1,6835,36983,101296437,0
1,1,6835,36983,252778805,0
1,1,6835,36983,252778805,0
1,1,6835,36983,252778805,0
1,1,6835,36983,252778805,1
1,1,6835,36983,252778805,0
1,1,6835,36983,252778805,0
1,0,6835,36983,252778805,0
1,0,6835,36983,252778805,0
