int rst,int start,int in,int out,int error,int done
0,0,0,0,1,1
0,0,0,0,1,1
0,0,2243,0,1,1
0,1,2243,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
0,0,0,47,0,1
